code,area,year,total_incidents,total_action_taken,warning_letters,fixed_penalty_notices,statutory_notices,formal_cautions,injunctions,prosecutions
E09000010,Enfield,2016-17,"75,614","10,894",90,"1,151",796,23,0,0
E09000011,Greenwich,2016-17,"7,960","2,188",185,111,44,0,0,0
E09000012,Hackney,2016-17,"3,267","5,601",97,214,544,40,0,29
E09000013,Hammersmith and Fulham,2016-17,"14,870","4,857",0,390,261,9,0,4
E09000014,Haringey,2016-17,"33,333","5,131",0,803,703,0,0,15
E09000015,Harrow,2016-17,"6,835","1,385",58,23,120,4,0,13
E09000016,Havering,2016-17,"4,061","11,748","5,077",375,296,0,0,0
E09000017,Hillingdon,2016-17,"7,766","3,031",0,"3,031",0,0,0,0
E09000018,Hounslow,2016-17,"22,973","2,242",109,809,0,0,0,0
E09000019,Islington,2016-17,"3,011","7,878","1,484","4,992",316,0,0,3
E09000020,Kensington and Chelsea,2016-17,"9,029","9,282",0,218,0,0,0,2
E09000021,Kingston Upon Thames,2016-17,"1,528",0,0,0,0,0,0,0
E09000022,Lambeth,2016-17,"3,427",0,0,0,0,0,0,0
E09000023,Lewisham,2016-17,"1,931","1,454",27,205,279,0,0,1
E09000024,Merton,2016-17,"3,113","6,056",366,"5,352",9,5,0,0
E09000025,Newham,2016-17,"19,917","5,155",0,"2,244",950,0,0,0
E09000026,Redbridge,2016-17,"12,461","2,489",277,248,232,52,0,10
E09000027,Richmond Upon Thames,2016-17,"5,253","3,337",410,36,0,0,0,0
E09000028,Southwark,2016-17,"17,131","1,937",355,355,395,17,0,16
E09000029,Sutton,2016-17,"2,296",278,20,9,0,0,0,0
E09000030,Tower Hamlets,2016-17,"6,287","14,601",717,"1,302",181,0,0,0
E09000031,Waltham Forest,2016-17,"6,772","18,459",320,"7,394","1,474",0,0,197
E09000032,Wandsworth,2016-17,"4,335","9,582","2,540","1,969",0,611,0,0
E09000033,Westminster,2016-17,"10,075","3,876",374,"3,240",185,0,0,0
E09000001,City of London,2017-18,"1,826","2,579",0,559,221,0,0,0
E09000002,Barking and Dagenham,2017-18,"2,628","1,066",7,970,27,0,0,0
E09000003,Barnet,2017-18,"6,153",503,7,496,0,0,0,0
E09000004,Bexley Council,2017-18,"2,105",327,28,68,0,0,0,0
E09000005,Brent,2017-18,"18,609","7,483",372,"2,531",708,0,0,253
E09000006,Bromley,2017-18,"3,067",258,17,34,3,0,0,3
E09000007,Camden,2017-18,"12,170","12,671",0,832,337,0,0,0
E09000008,Croydon,2017-18,"19,198","2,684",19,520,10,0,0,49
E09000009,Ealing,2017-18,"13,610","5,471",150,"5,021",100,0,0,0
E09000010,Enfield,2017-18,"3,900","5,855",37,641,520,0,0,0
E09000011,Greenwich,2017-18,"8,411","1,443",65,193,119,0,0,0
E09000012,Hackney,2017-18,"9,821","11,172",112,119,245,5,0,17
E09000013,Hammersmith and Fulham,2017-18,"18,652","2,982",0,194,262,6,0,8
E09000014,Haringey,2017-18,"23,549","3,171",0,"1,235",469,8,0,27
E09000015,Harrow,2017-18,"9,626","1,622",77,17,60,0,0,5
E09000016,Havering,2017-18,"4,655","10,463","3,986",295,611,0,0,2
E09000017,Hillingdon,2017-18,"7,181","4,393",0,"4,393",0,0,0,0
E09000018,Hounslow,2017-18,"17,063","4,334","2,074",765,4,0,0,0
E09000019,Islington,2017-18,"2,588","7,231",964,"5,393",254,0,0,5
E09000020,Kensington and Chelsea,2017-18,"9,852","10,165",0,181,0,0,0,1
E09000021,Kingston Upon Thames,2017-18,"1,349",3,0,3,0,0,0,0
E09000022,Lambeth,2017-18,"3,433",959,0,181,0,0,0,0
E09000023,Lewisham,2017-18,"3,562","1,330",32,365,249,0,0,0
E09000024,Merton,2017-18,"8,878","6,299",191,"5,641",18,0,0,0
E09000025,Newham,2017-18,"15,206","3,615",0,"1,290",119,0,0,0
E09000026,Redbridge,2017-18,:,"5,670",889,523,607,435,0,16
E09000027,Richmond Upon Thames,2017-18,"4,701","2,615",288,25,0,0,0,0
E09000028,Southwark,2017-18,"15,741","2,255",113,309,439,0,0,6
E09000029,Sutton,2017-18,"2,683",450,57,6,56,0,0,0
E09000030,Tower Hamlets,2017-18,"7,465","13,316",821,"1,179",161,0,0,0
E09000031,Waltham Forest,2017-18,"7,678","17,036",236,"9,566","1,005",202,0,45
E09000032,Wandsworth,2017-18,"5,000","9,735","1,453","2,064",0,158,0,0
E09000033,Westminster,2017-18,"13,890","7,111","1,882","5,098",131,0,0,0
E09000001,City of London,2018-19,1501,1566,0,189,174,0,0,1
E09000002,Barking and Dagenham,2018-19,2901,440,0,411,11,0,0,0
E09000003,Barnet,2018-19,2167,1016,0,1016,0,0,0,0
E09000004,Bexley Council,2018-19,2146,205,26,86,0,0,0,0
E09000005,Brent,2018-19,23965,6632,1392,1679,803,0,0,405
E09000006,Bromley,2018-19,3172,287,24,9,0,0,0,9
E09000007,Camden,2018-19,25765,26861,0,489,410,0,0,0
E09000008,Croydon,2018-19,22184,1994,55,518,199,0,1,21
E09000009,Ealing,2018-19,12547,4620,148,4055,91,0,0,0
E09000010,Enfield,2018-19,5164,6278,25,457,163,0,0,0
E09000011,Greenwich,2018-19,15897,933,68,132,59,0,0,0
E09000012,Hackney,2018-19,13504,1751,98,210,281,0,0,5
E09000013,Hammersmith and Fulham,2018-19,16769,1700,0,195,76,0,0,8
E09000014,Haringey,2018-19,21320,419,13,165,190,0,0,15
E09000015,Harrow,2018-19,13658,890,139,15,47,0,0,4
E09000016,Havering,2018-19,3959,6114,2022,160,290,0,0,3
E09000017,Hillingdon,2018-19,10677,3453,0,3343,0,0,0,0
E09000018,Hounslow,2018-19,21897,2862,206,408,0,0,0,0
E09000019,Islington,2018-19,1434,4145,70,2831,369,0,0,1
E09000020,Kensington and Chelsea,2018-19,6836,6915,0,85,0,0,0,4
E09000021,Kingston Upon Thames,2018-19,1589,21,0,21,0,0,0,0
E09000022,Lambeth,2018-19,5379,1963,0,730,0,0,0,0
E09000023,Lewisham,2018-19,3542,1308,15,331,245,0,0,1
E09000024,Merton,2018-19,11406,8862,37,8560,48,3,0,0
E09000025,Newham,2018-19,14656,2070,0,722,71,0,0,0
E09000026,Redbridge,2018-19,:,:,:,:,:,:,:,:
E09000027,Richmond Upon Thames,2018-19,3588,2870,32,364,0,0,0,0
E09000028,Southwark,2018-19,14412,2936,0,507,424,0,0,7
E09000029,Sutton,2018-19,3151,995,60,338,83,0,0,0
E09000030,Tower Hamlets,2018-19,9228,12403,1077,0,0,0,0,0
E09000031,Waltham Forest,2018-19,9434,12943,223,9977,341,0,0,15
E09000032,Wandsworth,2018-19,5410,8836,555,652,0,866,0,0
E09000033,Westminster,2018-19,15003,5855,1611,4158,85,0,0,0
E09000001,City of London,2019-20,1804,2255,0,178,167,0,0,0
E09000002,Barking and Dagenham,2019-20,3794,157,0,157,0,0,0,0
E09000003,Barnet,2019-20,3420,1869,0,1869,0,0,0,0
E09000004,Bexley Council,2019-20,2552,102,13,44,0,0,0,0
E09000005,Brent,2019-20,34197,5891,2043,106,68,0,0,1064
E09000006,Bromley,2019-20,2821,211,15,5,0,0,0,2
E09000007,Camden,2019-20,34465,40457,0,5491,449,0,0,0
E09000008,Croydon,2019-20,25532,2660,250,664,249,0,0,15
E09000009,Ealing,2019-20,13115,6791,180,5060,120,0,0,0
E09000010,Enfield,2019-20,4979,6317,14,373,543,0,0,0
E09000011,Greenwich,2019-20,11795,822,42,89,135,0,0,5
E09000012,Hackney,2019-20,12190,1316,38,224,319,0,0,1
E09000013,Hammersmith and Fulham,2019-20,13322,1352,0,304,24,0,0,0
E09000014,Haringey,2019-20,22972,576,4,374,34,0,0,12
E09000015,Harrow,2019-20,11151,553,13,99,21,0,0,1
E09000016,Havering,2019-20,3380,5744,1727,169,345,0,0,0
E09000017,Hillingdon,2019-20,10434,2695,0,2570,0,0,0,0
E09000018,Hounslow,2019-20,22480,3253,727,224,0,0,0,0
E09000019,Islington,2019-20,1764,3806,105,2493,531,0,0,6
E09000020,Kensington and Chelsea,2019-20,6490,6692,0,94,9,0,0,1
E09000021,Kingston Upon Thames,2019-20,1619,482,0,271,25,4,0,0
E09000022,Lambeth,2019-20,6638,1823,58,591,0,0,0,0
E09000023,Lewisham,2019-20,3842,1269,18,355,172,0,0,0
E09000024,Merton,2019-20,13047,4737,18,4431,35,4,0,7
E09000025,Newham,2019-20,11145,1724,17,243,104,7,0,5
E09000026,Redbridge,2019-20,19897,7560,163,3190,368,392,0,13
E09000027,Richmond Upon Thames,2019-20,2887,1208,25,163,0,0,0,0
E09000028,Southwark,2019-20,17872,2654,0,318,606,0,0,0
E09000029,Sutton,2019-20,3823,985,45,474,3,0,0,0
E09000030,Tower Hamlets,2019-20,7365,6553,906,0,0,0,0,0
E09000031,Waltham Forest,2019-20,9260,14355,455,11012,13,2,0,4
E09000032,Wandsworth,2019-20,4745,14617,360,955,0,46,0,0
E09000033,Westminster,2019-20,15283,5734,1439,4240,0,0,0,0
